Daphnia Year,Daphnia Month,Night Depth,Daphnia Size,Day 1 Growth,Starting Mass,Temperature File,Night Temperature,Daphnia Site,Elevation,Day Temperature,Sustainable Estimate,Reservoir(used for elevation),Day Depth,Light,Min Temp,Max Depth,Min Depth,Day 30 Growth,Estimated Condition Change,Max Temp,Daphnia Density,Daphnia Consumed,Ending Mass
2016,May,22.907000000000021,1.01,0.069830949302961381,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,12.45018821,161723.09163011875,Fall Creek,8.007000000000005,0.466,-1.0,10000.0,-1.0,0.6007826099370398,0.8652439919260466,10000.0,22328.0,7104.4924383989055,8.9579131965213055
2016,May,22.907000000000021,1.01,0.08186500962329489,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,12.45018821,150777.28653789902,Fall Creek,8.007000000000005,0.466,-1.0,10000.0,-1.0,0.64300168708605554,0.8642693760834472,10000.0,22328.0,7620.2490970804947,9.8483035008349731
2016,May,22.907000000000021,1.01,0.10047395251655399,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,12.599580546,148535.76498719319,Fall Creek,7.9070000000000054,0.466,-1.0,10000.0,-1.0,0.70312487655765532,0.8622777233172259,10000.0,22328.0,8377.8508758896933,11.178334367293985
2016,May,22.907000000000021,1.01,0.13405955606972125,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,12.599580546,129326.09280620601,Fall Creek,7.9070000000000054,0.466,-1.0,10000.0,-1.0,0.80384284599537648,0.8579047787768109,10000.0,22328.0,9622.2692713962988,13.483898880735898
2016,May,22.907000000000021,1.01,1.0979232847200431,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,13.550900608,57256.487416392636,Fall Creek,7.2070000000000043,0.466,-1.0,10000.0,-1.0,2.6191911875523957,0.744354492977898,10000.0,22328.0,33896.279614239473,74.154872659817869
2016,May,22.907000000000021,1.01,1.7015531147051266,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,13.78673442,45844.889693296151,Fall Creek,7.0070000000000032,0.466,-1.0,10000.0,-1.0,3.5038913999290053,0.6980302127723629,10000.0,22328.0,46673.580935828337,114.59146498160577
2016,May,22.907000000000021,1.01,2.2063920372002408,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,13.919656692,39254.791504083005,Fall Creek,6.9070000000000036,0.466,-1.0,10000.0,-1.0,4.1945267245915367,0.6661682877412002,10000.0,22328.0,57043.400690607297,150.62083043731892
2016,May,22.907000000000021,1.01,2.6561544320875909,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.052578964,35373.973772351295,Fall Creek,6.8070000000000039,0.466,-1.0,10000.0,-1.0,4.7732775239333378,0.641506513476423,10000.0,22328.0,66113.817097390696,184.16602205404743
2016,May,22.907000000000021,1.01,3.0637785652283638,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.185501236,32806.373447742815,Fall Creek,6.7070000000000043,0.466,-1.0,10000.0,-1.0,5.2755492508314958,0.6211485870519576,10000.0,22328.0,74320.621481566399,215.99657839316833
2016,May,22.907000000000021,1.01,3.4385002977533863,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.185501236,29780.066217271386,Fall Creek,6.7070000000000043,0.466,-1.0,10000.0,-1.0,5.7477055780575936,0.603740490719564,10000.0,22328.0,81873.225042681064,246.56286957765224
2016,May,22.907000000000021,1.01,3.7987700292475042,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.318423508,28522.767166135258,Fall Creek,6.6070000000000029,0.466,-1.0,10000.0,-1.0,6.1507304261357003,0.5884432519435593,10000.0,22328.0,88970.038552396407,276.11669702194865
2016,May,22.907000000000021,1.01,4.1234030918188207,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.318423508,26526.779601688089,Fall Creek,6.6070000000000029,0.466,-1.0,10000.0,-1.0,6.5503964246928374,0.5749186323009166,10000.0,22328.0,95664.522135607825,304.92862082925132
2016,May,22.907000000000021,1.01,4.4273395495561019,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.45134578,25842.249914631775,Fall Creek,6.5070000000000032,0.466,-1.0,10000.0,-1.0,6.8864332204543448,0.5625010755409066,10000.0,22328.0,102048.13181140277,332.955786126578
2016,May,22.907000000000021,1.01,4.733248010331371,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.45134578,24383.596977442816,Fall Creek,6.5070000000000032,0.466,-1.0,10000.0,-1.0,7.2353491654536315,0.5513319156502271,10000.0,22328.0,108152.76056404544,360.51083286837439
2016,May,22.907000000000021,1.01,5.0239444833402205,20.0,Fall Creek_T_May_2016.csv,8.286881021,Fall Creek,100000.0,14.598103308,23994.933071115647,Fall Creek,6.4070000000000036,0.466,-1.0,10000.0,-1.0,7.5177914546545033,0.5409509339078971,10000.0,22328.0,114050.53511423651,387.50719609603709
