Day,Depth,Temperature
8,2.503,12.2702427
8,3.003,12.14214273
8,3.503,12.02076456
8,4.003,11.71694186
8,4.503,11.37333965
8,5.003,10.94321656
8,5.503,10.5313907
8,6.003,10.13179613
8,6.503,9.771423925
8,7.003,9.480140216
8,7.503,9.423671784
8,8.003,9.367131445
8,8.503,9.315148366
8,9.003,9.28186608
8,9.503,9.263583915
8,10.003,9.226678155
8,10.503,9.19741748
8,11.003,9.175606794
8,11.503,9.141979989
8,12.003,9.104518967
8,12.503,9.073535565
8,13.003,9.04167104
8,13.503,9.000641463
8,14.003,8.967486029
8,14.503,8.927007681
8,15.003,8.881768853
8,15.503,8.855924147
8,16.003,8.825804797
8,16.503,8.788166476
8,17.003,8.769846535
8,17.503,8.750778108
8,18.003,8.731948299
9,2.003,12.42700739
9,2.503,12.2702427
9,3.003,12.14214273
9,3.503,12.02076456
9,4.003,11.71694186
9,4.503,11.37333965
9,5.003,10.94321656
9,5.503,10.5313907
9,6.003,10.13179613
9,6.503,9.771423925
9,7.003,9.480140216
9,7.503,9.423671784
9,8.003,9.367131445
9,8.503,9.315148366
9,9.003,9.28186608
9,9.503,9.263583915
9,10.003,9.226678155
9,10.503,9.19741748
9,11.003,9.175606794
9,11.503,9.141979989
9,12.003,9.104518967
9,12.503,9.073535565
9,13.003,9.04167104
9,13.503,9.000641463
9,14.003,8.967486029
9,14.503,8.927007681
9,15.003,8.881768853
9,15.503,8.855924147
9,16.003,8.825804797
9,16.503,8.788166476
9,17.003,8.769846535
9,17.503,8.750778108
9,18.003,8.731948299
10,2.003,12.42700739
10,2.503,12.2702427
10,3.003,12.14214273
10,3.503,12.02076456
10,4.003,11.71694186
10,4.503,11.37333965
10,5.003,10.94321656
10,5.503,10.5313907
10,6.003,10.13179613
10,6.503,9.771423925
10,7.003,9.480140216
10,7.503,9.423671784
10,8.003,9.367131445
10,8.503,9.315148366
10,9.003,9.28186608
10,9.503,9.263583915
10,10.003,9.226678155
10,10.503,9.19741748
10,11.003,9.175606794
10,11.503,9.141979989
10,12.003,9.104518967
10,12.503,9.073535565
10,13.003,9.04167104
10,13.503,9.000641463
10,14.003,8.967486029
10,14.503,8.927007681
10,15.003,8.881768853
10,15.503,8.855924147
10,16.003,8.825804797
10,16.503,8.788166476
10,17.003,8.769846535
10,17.503,8.750778108
10,18.003,8.731948299
11,2.003,12.42700739
11,2.503,12.2702427
11,3.003,12.14214273
11,3.503,12.02076456
11,4.003,11.71694186
11,4.503,11.37333965
11,5.003,10.94321656
11,5.503,10.5313907
11,6.003,10.13179613
11,6.503,9.771423925
11,7.003,9.480140216
11,7.503,9.423671784
11,8.003,9.367131445
11,8.503,9.315148366
11,9.003,9.28186608
11,9.503,9.263583915
11,10.003,9.226678155
11,10.503,9.19741748
11,11.003,9.175606794
11,11.503,9.141979989
11,12.003,9.104518967
11,12.503,9.073535565
11,13.003,9.04167104
11,13.503,9.000641463
11,14.003,8.967486029
11,14.503,8.927007681
11,15.003,8.881768853
11,15.503,8.855924147
11,16.003,8.825804797
11,16.503,8.788166476
11,17.003,8.769846535
11,17.503,8.750778108
11,18.003,8.731948299
12,2.003,12.42700739
12,2.503,12.2702427
12,3.003,12.14214273
12,3.503,12.02076456
12,4.003,11.71694186
12,4.503,11.37333965
12,5.003,10.94321656
12,5.503,10.5313907
12,6.003,10.13179613
12,6.503,9.771423925
12,7.003,9.480140216
12,7.503,9.423671784
12,8.003,9.367131445
12,8.503,9.315148366
12,9.003,9.28186608
12,9.503,9.263583915
12,10.003,9.226678155
12,10.503,9.19741748
12,11.003,9.175606794
12,11.503,9.141979989
12,12.003,9.104518967
12,12.503,9.073535565
12,13.003,9.04167104
12,13.503,9.000641463
12,14.003,8.967486029
12,14.503,8.927007681
12,15.003,8.881768853
12,15.503,8.855924147
12,16.003,8.825804797
12,16.503,8.788166476
12,17.003,8.769846535
12,17.503,8.750778108
12,18.003,8.731948299
12,2.003,12.42700739
12,2.503,12.2702427
12,3.003,12.14214273
12,3.503,12.02076456
