,Day,Depth,Temperature
1,1,2.043,22.0935377069
1,1,2.543,22.091795976700002
1,1,3.043,22.0961177028
1,1,3.543,22.0922040581
1,1,4.043,22.087254897399998
1,1,4.543,22.0755555875
1,1,5.043,22.0677736021
1,1,5.542999999999999,22.061334935799998
1,1,6.042999999999999,22.055711766599998
1,1,6.542999999999999,22.030673188
1,1,7.042999999999999,22.001481482600003
1,1,7.542999999999999,21.9904094218
1,1,8.043,21.9863227502
1,1,8.543,21.937044006599997
1,1,9.043,21.917225352600003
1,1,9.543,21.9026421598
1,1,10.043,21.7429702613
1,1,10.543,21.649238785500003
1,1,11.043,21.4839462955
1,1,11.543,21.1392033479
1,1,12.043,20.640695603399998
1,1,12.543,19.9680934204
1,1,13.043,19.3723766803
1,1,13.543,18.7944129578
1,1,14.043,18.0863183578
1,1,14.543,17.6212378987
1,1,15.043,17.3105696761
1,1,15.543,17.033245433
1,1,16.043,16.8655530472
1,1,16.543,16.4524664256
1,1,17.043,16.2688967078
1,1,17.543,16.017694226099998
1,1,18.043,15.649357845699999
1,1,18.543,15.366804911
1,1,19.043,15.1395241781
1,1,19.543,14.7083913643
1,1,20.043,14.4701679244
1,1,20.543000000000003,14.0289603319
1,1,21.043000000000003,13.4720833974
1,1,21.543000000000003,12.9888542215
1,1,22.043000000000003,12.3548556472
1,1,22.543000000000003,11.680891091300001
1,1,23.043000000000003,11.1081721542
1,1,23.543000000000003,10.4159028835
1,1,24.043000000000003,9.83159299404
1,1,24.543000000000003,9.32484467349
1,1,25.043000000000003,8.65315885563
1,1,25.543000000000003,8.17487988622
1,1,26.043000000000003,7.726506786689999
1,1,26.543000000000003,7.29982763367
1,1,27.043000000000003,6.980033314269999
1,1,27.543000000000003,6.71953427697
1,1,28.043000000000003,6.589206025529999
1,1,28.543000000000003,6.488292842080001
1,1,29.043000000000003,6.363740309190001
1,1,29.543000000000003,6.279193348910001
1,1,30.043000000000003,6.228162295580001
1,1,30.543000000000003,6.16683038857
1,1,31.043000000000003,6.10583645685
1,1,31.543000000000003,6.05866169555
1,1,32.043,5.99383001493
1,1,32.543,5.937944849349999
1,1,33.043,5.882478678330001
1,1,33.543,5.8213086529
1,1,34.043,5.78386523072
1,1,34.543,5.7609830803
1,1,35.043,5.69448979865
1,1,35.543,5.6687177252900005
1,1,36.043,5.628717164369999
1,1,36.543,5.60044866874
1,1,37.043,5.57694914117
1,1,37.543,5.56286556349
1,1,38.043,5.53502880925
2,2,2.043,22.0935377069
2,2,2.543,22.091795976700002
2,2,3.043,22.0961177028
2,2,3.543,22.0922040581
2,2,4.043,22.087254897399998
2,2,4.543,22.0755555875
2,2,5.043,22.0677736021
2,2,5.542999999999999,22.061334935799998
2,2,6.042999999999999,22.055711766599998
2,2,6.542999999999999,22.030673188
2,2,7.042999999999999,22.001481482600003
2,2,7.542999999999999,21.9904094218
2,2,8.043,21.9863227502
2,2,8.543,21.937044006599997
2,2,9.043,21.917225352600003
2,2,9.543,21.9026421598
2,2,10.043,21.7429702613
2,2,10.543,21.649238785500003
2,2,11.043,21.4839462955
2,2,11.543,21.1392033479
2,2,12.043,20.640695603399998
2,2,12.543,19.9680934204
2,2,13.043,19.3723766803
2,2,13.543,18.7944129578
2,2,14.043,18.0863183578
2,2,14.543,17.6212378987
2,2,15.043,17.3105696761
2,2,15.543,17.033245433
2,2,16.043,16.8655530472
2,2,16.543,16.4524664256
2,2,17.043,16.2688967078
2,2,17.543,16.017694226099998
2,2,18.043,15.649357845699999
2,2,18.543,15.366804911
2,2,19.043,15.1395241781
2,2,19.543,14.7083913643
2,2,20.043,14.4701679244
2,2,20.543000000000003,14.0289603319
2,2,21.043000000000003,13.4720833974
2,2,21.543000000000003,12.9888542215
2,2,22.043000000000003,12.3548556472
2,2,22.543000000000003,11.680891091300001
2,2,23.043000000000003,11.1081721542
2,2,23.543000000000003,10.4159028835
2,2,24.043000000000003,9.83159299404
2,2,24.543000000000003,9.32484467349
2,2,25.043000000000003,8.65315885563
2,2,25.543000000000003,8.17487988622
2,2,26.043000000000003,7.726506786689999
2,2,26.543000000000003,7.29982763367
2,2,27.043000000000003,6.980033314269999
2,2,27.543000000000003,6.71953427697
2,2,28.043000000000003,6.589206025529999
2,2,28.543000000000003,6.488292842080001
2,2,29.043000000000003,6.363740309190001
2,2,29.543000000000003,6.279193348910001
2,2,30.043000000000003,6.228162295580001
2,2,30.543000000000003,6.16683038857
2,2,31.043000000000003,6.10583645685
2,2,31.543000000000003,6.05866169555
2,2,32.043,5.99383001493
2,2,32.543,5.937944849349999
2,2,33.043,5.882478678330001
2,2,33.543,5.8213086529
2,2,34.043,5.78386523072
2,2,34.543,5.7609830803
2,2,35.043,5.69448979865
2,2,35.543,5.6687177252900005
